Strain,Region,year,Dkl,Lowerbound,Upperbound
Bei89,B*,1973,0.344,0.302,0.397
Bei89,non-epitope,1973,0.011,0.011,0.012
Bei89,OtherbutB*,1973,0.043,0.043,0.045
Bei89,OtherEpibutB*,1973,0.337,0.331,0.347
Bei89,A,1974,0.41,0.404,0.421
Bei89,B,1974,0.325,0.308,0.347
Bei89,C,1974,0.412,0.389,0.44
Bei89,D,1974,0.264,0.246,0.298
Bei89,E,1974,0.155,0.137,0.189
Bei89,B*,1974,0.303,0.269,0.343
Bei89,non-epitope,1974,0.01,0.009,0.011
Bei89,OtherbutB*,1974,0.039,0.039,0.041
Bei89,OtherEpibutB*,1974,0.305,0.297,0.317
Bei89,A,1975,0.405,0.385,0.433
Bei89,B,1975,0.361,0.332,0.391
Bei89,C,1975,0.346,0.31,0.386
Bei89,D,1975,0.256,0.234,0.303
Bei89,E,1975,0.171,0.15,0.206
Bei89,B*,1975,0.374,0.32,0.442
Bei89,non-epitope,1975,0.01,0.009,0.011
Bei89,OtherbutB*,1975,0.038,0.037,0.041
Bei89,OtherEpibutB*,1975,0.299,0.287,0.318
Bei89,A,1976,0.328,0.313,0.352
Bei89,B,1976,0.355,0.332,0.385
Bei89,C,1976,0.23,0.199,0.271
Bei89,D,1976,0.324,0.294,0.354
Bei89,E,1976,0.114,0.095,0.145
Bei89,B*,1976,0.323,0.28,0.376
Bei89,non-epitope,1976,0.008,0.008,0.009
Bei89,OtherbutB*,1976,0.034,0.033,0.036
Bei89,OtherEpibutB*,1976,0.271,0.265,0.287
Bei89,A,1977,0.29,0.267,0.32
Bei89,B,1977,0.324,0.304,0.357
Bei89,C,1977,0.172,0.141,0.209
Bei89,D,1977,0.3,0.272,0.34
Bei89,E,1977,0.082,0.06,0.113
Bei89,B*,1977,0.265,0.222,0.346
Bei89,non-epitope,1977,0.009,0.008,0.01
Bei89,OtherbutB*,1977,0.032,0.031,0.034
Bei89,OtherEpibutB*,1977,0.239,0.229,0.257
Bei89,A,1978,0.242,0.233,0.251
Bei89,B,1978,0.252,0.232,0.282
Bei89,C,1978,0.13,0.103,0.18
Bei89,D,1978,0.342,0.318,0.384
Bei89,E,1978,0.034,0.021,0.059
Bei89,B*,1978,0.148,0.12,0.199
Bei89,non-epitope,1978,0.008,0.007,0.01
Bei89,OtherbutB*,1978,0.028,0.026,0.03
Bei89,OtherEpibutB*,1978,0.211,0.205,0.227
Bei89,A,1979,0.126,0.115,0.162
Bei89,B,1979,0.181,0.171,0.211
Bei89,C,1979,0.09,0.087,0.097
Bei89,D,1979,0.142,0.115,0.173
Bei89,E,1979,0.034,0.021,0.059
Bei89,B*,1979,0.151,0.137,0.243
Bei89,non-epitope,1979,0.006,0.005,0.007
Bei89,OtherbutB*,1979,0.017,0.016,0.018
Bei89,OtherEpibutB*,1979,0.116,0.108,0.132
Bei89,A,1980,0.119,0.116,0.132
Bei89,B,1980,0.155,0.139,0.192
Bei89,C,1980,0.09,0.087,0.097
Bei89,D,1980,0.173,0.173,0.173
Bei89,E,1980,0.048,0.031,0.07
Bei89,B*,1980,0.138,0.121,0.172
Bei89,non-epitope,1980,0.006,0.006,0.007
Bei89,OtherbutB*,1980,0.017,0.017,0.019
Bei89,OtherEpibutB*,1980,0.118,0.112,0.13
Bei89,A,1981,0.126,0.118,0.136
Bei89,B,1981,0.18,0.163,0.195
Bei89,C,1981,0.09,0.087,0.097
Bei89,D,1981,0.173,0.173,0.173
Bei89,E,1981,0.087,0.074,0.113
Bei89,B*,1981,0.148,0.124,0.172
Bei89,non-epitope,1981,0.006,0.005,0.008
Bei89,OtherbutB*,1981,0.019,0.018,0.021
Bei89,OtherEpibutB*,1981,0.135,0.13,0.142
Bei89,A,1982,0.151,0.137,0.171
Bei89,B,1982,0.173,0.157,0.202
Bei89,C,1982,0.036,0.015,0.066
Bei89,D,1982,0.051,0.035,0.078
Bei89,E,1982,0.054,0.032,0.083
Bei89,B*,1982,0.149,0.131,0.184
Bei89,non-epitope,1982,0.006,0.005,0.007
Bei89,OtherbutB*,1982,0.015,0.014,0.017
Bei89,OtherEpibutB*,1982,0.096,0.088,0.109
Bei89,A,1983,0.079,0.064,0.096
Bei89,B,1983,0.156,0.139,0.191
Bei89,C,1983,0.028,0.003,0.06
Bei89,D,1983,0.04,0.023,0.065
Bei89,E,1983,0.043,0.026,0.074
Bei89,B*,1983,0.129,0.118,0.167
Bei89,non-epitope,1983,0.003,0.002,0.005
Bei89,OtherbutB*,1983,0.01,0.009,0.012
Bei89,OtherEpibutB*,1983,0.072,0.062,0.087
Bei89,A,1984,0.068,0.06,0.078
Bei89,B,1984,0.188,0.168,0.226
Bei89,C,1984,0.004,0.,0.01
Bei89,D,1984,0.066,0.058,0.076
Bei89,E,1984,0.034,0.021,0.059
Bei89,B*,1984,0.148,0.124,0.172
Bei89,non-epitope,1984,0.002,0.001,0.003
Bei89,OtherbutB*,1984,0.009,0.008,0.011
Bei89,OtherEpibutB*,1984,0.076,0.069,0.086
Bei89,A,1985,0.07,0.062,0.081
Bei89,B,1985,0.115,0.1,0.137
Bei89,C,1985,0.007,0.,0.017
Bei89,D,1985,0.012,0.002,0.03
Bei89,E,1985,0.034,0.021,0.059
Bei89,B*,1985,0.066,0.035,0.106
Bei89,non-epitope,1985,0.002,0.001,0.003
Bei89,OtherbutB*,1985,0.007,0.006,0.008
Bei89,OtherEpibutB*,1985,0.053,0.047,0.062
Bei89,A,1986,0.049,0.037,0.073
Bei89,B,1986,0.117,0.102,0.144
Bei89,C,1986,0.004,0.,0.01
Bei89,D,1986,0.008,0.,0.018
Bei89,E,1986,0.034,0.021,0.059
Bei89,B*,1986,0.057,0.028,0.098
Bei89,non-epitope,1986,0.003,0.002,0.004
Bei89,OtherbutB*,1986,0.008,0.007,0.009
Bei89,OtherEpibutB*,1986,0.049,0.045,0.062
Bei89,A,1987,0.032,0.016,0.061
Bei89,B,1987,0.022,0.016,0.055
Bei89,C,1987,0.004,0.,0.01
Bei89,D,1987,0.014,0.002,0.032
Bei89,E,1987,0.025,0.01,0.045
Bei89,B*,1987,0.023,0.007,0.067
Bei89,non-epitope,1987,0.002,0.001,0.002
Bei89,OtherbutB*,1987,0.003,0.003,0.005
Bei89,OtherEpibutB*,1987,0.021,0.016,0.033
Bei89,A,1988,0.,0.,0.013
Bei89,B,1988,0.,0.,0.016
Bei89,C,1988,0.,0.,0.01
Bei89,D,1988,0.,0.,0.008
Bei89,E,1988,0.,0.,0.014
Bei89,B*,1988,0.,0.,0.026
Bei89,non-epitope,1988,0.,0.,0.001
Bei89,OtherbutB*,1988,0.,0.,0.001
Bei89,OtherEpibutB*,1988,0.,0.,0.008
Bei89,A,1989,0.039,0.025,0.065
Bei89,B,1989,0.01,0.004,0.022
Bei89,C,1989,0.044,0.023,0.077
Bei89,D,1989,0.003,0.,0.012
Bei89,E,1989,0.057,0.042,0.086
Bei89,B*,1989,0.006,0.001,0.03
Bei89,non-epitope,1989,0.002,0.001,0.003
Bei89,OtherbutB*,1989,0.005,0.004,0.006
Bei89,OtherEpibutB*,1989,0.031,0.026,0.043
Bei89,A,1990,0.062,0.046,0.088
Bei89,B,1990,0.021,0.012,0.042
Bei89,C,1990,0.074,0.06,0.1
Bei89,D,1990,0.016,0.004,0.026
Bei89,E,1990,0.102,0.084,0.124
Bei89,B*,1990,0.041,0.018,0.092
Bei89,non-epitope,1990,0.002,0.002,0.003
Bei89,OtherbutB*,1990,0.007,0.007,0.009
Bei89,OtherEpibutB*,1990,0.053,0.045,0.063
Bei89,A,1991,0.11,0.094,0.142
Bei89,B,1991,0.065,0.056,0.082
Bei89,C,1991,0.076,0.058,0.096
Bei89,D,1991,0.03,0.021,0.042
Bei89,E,1991,0.099,0.079,0.118
Bei89,B*,1991,0.159,0.134,0.206
Bei89,non-epitope,1991,0.003,0.002,0.004
Bei89,OtherbutB*,1991,0.009,0.008,0.011
Bei89,OtherEpibutB*,1991,0.066,0.059,0.079
Bei89,A,1992,0.108,0.086,0.136
Bei89,B,1992,0.087,0.075,0.101
Bei89,C,1992,0.082,0.066,0.112
Bei89,D,1992,0.035,0.022,0.047
Bei89,E,1992,0.107,0.082,0.128
Bei89,B*,1992,0.187,0.163,0.22
Bei89,non-epitope,1992,0.003,0.003,0.004
Bei89,OtherbutB*,1992,0.01,0.009,0.011
Bei89,OtherEpibutB*,1992,0.073,0.064,0.082
Bei89,A,1993,0.134,0.116,0.157
Bei89,B,1993,0.171,0.156,0.188
Bei89,C,1993,0.128,0.111,0.154
Bei89,D,1993,0.019,0.01,0.029
Bei89,E,1993,0.138,0.117,0.159
Bei89,B*,1993,0.256,0.228,0.292
Bei89,non-epitope,1993,0.004,0.004,0.005
Bei89,OtherbutB*,1993,0.014,0.014,0.016
Bei89,OtherEpibutB*,1993,0.106,0.1,0.117
Bei89,A,1994,0.17,0.149,0.193
Bei89,B,1994,0.198,0.185,0.212
Bei89,C,1994,0.144,0.124,0.172
Bei89,D,1994,0.021,0.013,0.031
Bei89,E,1994,0.14,0.118,0.161
Bei89,B*,1994,0.293,0.265,0.324
Bei89,non-epitope,1994,0.006,0.006,0.007
Bei89,OtherbutB*,1994,0.017,0.017,0.019
Bei89,OtherEpibutB*,1994,0.121,0.113,0.132
Bei89,A,1995,0.229,0.213,0.245
Bei89,B,1995,0.222,0.207,0.241
Bei89,C,1995,0.222,0.203,0.25
Bei89,D,1995,0.138,0.123,0.152
Bei89,E,1995,0.147,0.128,0.168
Bei89,B*,1995,0.294,0.265,0.323
Bei89,non-epitope,1995,0.005,0.005,0.006
Bei89,OtherbutB*,1995,0.023,0.022,0.024
Bei89,OtherEpibutB*,1995,0.179,0.174,0.189
Bei89,A,1996,0.253,0.238,0.274
Bei89,B,1996,0.242,0.229,0.256
Bei89,C,1996,0.255,0.234,0.28
Bei89,D,1996,0.167,0.156,0.182
Bei89,E,1996,0.156,0.14,0.177
Bei89,B*,1996,0.301,0.272,0.333
Bei89,non-epitope,1996,0.006,0.005,0.007
Bei89,OtherbutB*,1996,0.025,0.025,0.027
Bei89,OtherEpibutB*,1996,0.203,0.197,0.216
Bei89,A,1997,0.306,0.289,0.338
Bei89,B,1997,0.274,0.262,0.289
Bei89,C,1997,0.256,0.24,0.283
Bei89,D,1997,0.182,0.175,0.192
Bei89,E,1997,0.182,0.158,0.204
Bei89,B*,1997,0.372,0.342,0.406
Bei89,non-epitope,1997,0.007,0.006,0.007
Bei89,OtherbutB*,1997,0.028,0.027,0.029
Bei89,OtherEpibutB*,1997,0.226,0.217,0.238
Bei89,A,1998,0.35,0.326,0.374
Bei89,B,1998,0.321,0.314,0.334
Bei89,C,1998,0.25,0.233,0.271
Bei89,D,1998,0.183,0.176,0.192
Bei89,E,1998,0.196,0.175,0.218
Bei89,B*,1998,0.496,0.477,0.518
Bei89,non-epitope,1998,0.006,0.006,0.007
Bei89,OtherbutB*,1998,0.029,0.028,0.03
Bei89,OtherEpibutB*,1998,0.238,0.232,0.249
Bei89,A,1999,0.416,0.4,0.442
Bei89,B,1999,0.363,0.354,0.376
Bei89,C,1999,0.247,0.23,0.267
Bei89,D,1999,0.182,0.174,0.192
Bei89,E,1999,0.241,0.22,0.261
Bei89,B*,1999,0.566,0.558,0.575
Bei89,non-epitope,1999,0.007,0.007,0.008
Bei89,OtherbutB*,1999,0.033,0.032,0.034
Bei89,OtherEpibutB*,1999,0.267,0.261,0.278
Bei89,A,2000,0.417,0.398,0.443
Bei89,B,2000,0.383,0.373,0.396
Bei89,C,2000,0.259,0.243,0.283
Bei89,D,2000,0.182,0.174,0.191
Bei89,E,2000,0.273,0.254,0.293
Bei89,B*,2000,0.578,0.577,0.578
Bei89,non-epitope,2000,0.009,0.008,0.01
Bei89,OtherbutB*,2000,0.036,0.035,0.037
Bei89,OtherEpibutB*,2000,0.281,0.274,0.292
Bei89,A,2001,0.425,0.407,0.451
Bei89,B,2001,0.398,0.387,0.411
Bei89,C,2001,0.264,0.247,0.289
Bei89,D,2001,0.186,0.178,0.195
Bei89,E,2001,0.242,0.221,0.262
Bei89,B*,2001,0.578,0.577,0.578
Bei89,non-epitope,2001,0.01,0.009,0.01
Bei89,OtherbutB*,2001,0.036,0.036,0.038
Bei89,OtherEpibutB*,2001,0.282,0.273,0.292
Bei89,A,2002,0.401,0.384,0.427
Bei89,B,2002,0.427,0.417,0.438
Bei89,C,2002,0.254,0.238,0.274
Bei89,D,2002,0.182,0.174,0.191
Bei89,E,2002,0.236,0.218,0.256
Bei89,B*,2002,0.578,0.577,0.578
Bei89,non-epitope,2002,0.011,0.011,0.012
Bei89,OtherbutB*,2002,0.038,0.037,0.039
Bei89,OtherEpibutB*,2002,0.281,0.274,0.292
Bei89,A,2003,0.39,0.376,0.416
Bei89,B,2003,0.451,0.441,0.463
Bei89,C,2003,0.308,0.29,0.331
Bei89,D,2003,0.182,0.175,0.192
Bei89,E,2003,0.252,0.235,0.268
Bei89,B*,2003,0.562,0.555,0.568
Bei89,non-epitope,2003,0.015,0.014,0.015
Bei89,OtherbutB*,2003,0.043,0.042,0.044
Bei89,OtherEpibutB*,2003,0.299,0.294,0.309
Bei89,A,2004,0.352,0.349,0.365
Bei89,B,2004,0.484,0.473,0.496
Bei89,C,2004,0.325,0.307,0.347
Bei89,D,2004,0.185,0.177,0.193
Bei89,E,2004,0.264,0.248,0.282
Bei89,B*,2004,0.633,0.625,0.64
Bei89,non-epitope,2004,0.016,0.016,0.017
Bei89,OtherbutB*,2004,0.044,0.043,0.045
Bei89,OtherEpibutB*,2004,0.298,0.293,0.307
Bei89,A,2005,0.354,0.347,0.363
Bei89,B,2005,0.5,0.49,0.512
Bei89,C,2005,0.325,0.306,0.347
Bei89,D,2005,0.19,0.184,0.198
Bei89,E,2005,0.258,0.242,0.275
Bei89,B*,2005,0.676,0.669,0.683
Bei89,non-epitope,2005,0.017,0.017,0.018
Bei89,OtherbutB*,2005,0.045,0.044,0.046
Bei89,OtherEpibutB*,2005,0.299,0.293,0.306
Bei89,A,2006,0.336,0.328,0.346
Bei89,B,2006,0.492,0.482,0.505
Bei89,C,2006,0.331,0.314,0.35
Bei89,D,2006,0.184,0.179,0.191
Bei89,E,2006,0.266,0.25,0.283
Bei89,B*,2006,0.689,0.684,0.693
Bei89,non-epitope,2006,0.016,0.016,0.017
Bei89,OtherbutB*,2006,0.043,0.043,0.045
Bei89,OtherEpibutB*,2006,0.293,0.287,0.301
Bei89,A,2007,0.328,0.321,0.339
Bei89,B,2007,0.49,0.481,0.503
Bei89,C,2007,0.329,0.313,0.351
Bei89,D,2007,0.191,0.186,0.198
Bei89,E,2007,0.262,0.247,0.28
Bei89,B*,2007,0.688,0.684,0.691
Bei89,non-epitope,2007,0.016,0.016,0.017
Bei89,OtherbutB*,2007,0.043,0.043,0.044
Bei89,OtherEpibutB*,2007,0.291,0.286,0.298
Bei89,A,2008,0.341,0.334,0.351
Bei89,B,2008,0.452,0.443,0.465
Bei89,C,2008,0.306,0.291,0.33
Bei89,D,2008,0.203,0.198,0.207
Bei89,E,2008,0.227,0.213,0.243
Bei89,B*,2008,0.628,0.621,0.638
Bei89,non-epitope,2008,0.015,0.014,0.015
Bei89,OtherbutB*,2008,0.041,0.04,0.042
Bei89,OtherEpibutB*,2008,0.28,0.276,0.289
Bei89,A,2009,0.355,0.348,0.366
Bei89,B,2009,0.499,0.489,0.51
Bei89,C,2009,0.328,0.311,0.348
Bei89,D,2009,0.235,0.234,0.237
Bei89,E,2009,0.23,0.212,0.246
Bei89,B*,2009,0.69,0.687,0.692
Bei89,non-epitope,2009,0.017,0.017,0.018
Bei89,OtherbutB*,2009,0.045,0.045,0.046
Bei89,OtherEpibutB*,2009,0.301,0.296,0.309
Bei89,A,2010,0.345,0.337,0.354
Bei89,B,2010,0.498,0.489,0.509
Bei89,C,2010,0.349,0.333,0.369
Bei89,D,2010,0.23,0.23,0.232
Bei89,E,2010,0.261,0.246,0.277
Bei89,B*,2010,0.678,0.674,0.682
Bei89,non-epitope,2010,0.019,0.019,0.02
Bei89,OtherbutB*,2010,0.048,0.047,0.049
Bei89,OtherEpibutB*,2010,0.309,0.304,0.317
Bei89,A,2011,0.346,0.34,0.355
Bei89,B,2011,0.493,0.485,0.504
Bei89,C,2011,0.343,0.326,0.363
Bei89,D,2011,0.23,0.229,0.231
Bei89,E,2011,0.263,0.247,0.279
Bei89,B*,2011,0.674,0.67,0.677
Bei89,non-epitope,2011,0.021,0.02,0.021
Bei89,OtherbutB*,2011,0.049,0.049,0.05
Bei89,OtherEpibutB*,2011,0.308,0.303,0.316
Bei89,A,2012,0.34,0.337,0.346
Bei89,B,2012,0.486,0.477,0.498
Bei89,C,2012,0.322,0.306,0.341
Bei89,D,2012,0.224,0.223,0.226
Bei89,E,2012,0.257,0.242,0.273
Bei89,B*,2012,0.655,0.651,0.658
Bei89,non-epitope,2012,0.021,0.021,0.022
Bei89,OtherbutB*,2012,0.049,0.048,0.05
Bei89,OtherEpibutB*,2012,0.301,0.296,0.308
Bei89,A,2013,0.35,0.347,0.355
Bei89,B,2013,0.488,0.479,0.499
Bei89,C,2013,0.326,0.309,0.346
Bei89,D,2013,0.228,0.227,0.229
Bei89,E,2013,0.261,0.245,0.277
Bei89,B*,2013,0.678,0.675,0.681
Bei89,non-epitope,2013,0.025,0.025,0.026
Bei89,OtherbutB*,2013,0.052,0.052,0.053
Bei89,OtherEpibutB*,2013,0.303,0.298,0.311
Bei89,A,2014,0.36,0.358,0.366
Bei89,B,2014,0.469,0.461,0.479
Bei89,C,2014,0.327,0.31,0.346
Bei89,D,2014,0.227,0.226,0.228
Bei89,E,2014,0.25,0.234,0.267
Bei89,B*,2014,0.619,0.617,0.624
Bei89,non-epitope,2014,0.027,0.027,0.028
Bei89,OtherbutB*,2014,0.054,0.054,0.056
Bei89,OtherEpibutB*,2014,0.304,0.298,0.312
Bei89,A,2015,0.38,0.377,0.386
Bei89,B,2015,0.468,0.459,0.479
Bei89,C,2015,0.329,0.312,0.347
Bei89,D,2015,0.227,0.226,0.228
Bei89,E,2015,0.254,0.238,0.27
Bei89,B*,2015,0.583,0.581,0.589
Bei89,non-epitope,2015,0.029,0.028,0.029
Bei89,OtherbutB*,2015,0.057,0.056,0.058
Bei89,OtherEpibutB*,2015,0.313,0.307,0.321
Bei89,A,2016,0.379,0.376,0.385
Bei89,B,2016,0.486,0.477,0.498
Bei89,C,2016,0.328,0.311,0.346
Bei89,D,2016,0.23,0.23,0.231
Bei89,E,2016,0.263,0.247,0.279
Bei89,B*,2016,0.58,0.577,0.585
Bei89,non-epitope,2016,0.03,0.029,0.03
Bei89,OtherbutB*,2016,0.058,0.058,0.06
Bei89,OtherEpibutB*,2016,0.321,0.315,0.329
Bei89,A,2017,0.387,0.384,0.392
Bei89,B,2017,0.489,0.481,0.5
Bei89,C,2017,0.331,0.314,0.35
Bei89,D,2017,0.23,0.23,0.231
Bei89,E,2017,0.268,0.252,0.285
Bei89,B*,2017,0.574,0.572,0.579
Bei89,non-epitope,2017,0.031,0.031,0.032
Bei89,OtherbutB*,2017,0.06,0.059,0.061
Bei89,OtherEpibutB*,2017,0.326,0.32,0.334
Bei89,A,2018,0.391,0.389,0.394
Bei89,B,2018,0.492,0.483,0.504
Bei89,C,2018,0.329,0.312,0.348
Bei89,D,2018,0.23,0.229,0.23
Bei89,E,2018,0.269,0.253,0.286
Bei89,B*,2018,0.576,0.574,0.582
Bei89,non-epitope,2018,0.03,0.03,0.031
Bei89,OtherbutB*,2018,0.06,0.059,0.061
Bei89,OtherEpibutB*,2018,0.327,0.322,0.335
Mos99,A,1968,0.611,0.603,0.621
Mos99,B,1968,0.458,0.45,0.464
Mos99,C,1968,0.656,0.642,0.678
Mos99,D,1968,0.46,0.455,0.468
Mos99,E,1968,0.428,0.422,0.435
Mos99,B*,1968,0.517,0.496,0.532
Mos99,non-epitope,1968,0.021,0.02,0.021
Mos99,OtherbutB*,1968,0.068,0.068,0.069
Mos99,OtherEpibutB*,1968,0.507,0.505,0.512
Mos99,A,1969,0.611,0.603,0.62
Mos99,B,1969,0.458,0.45,0.464
Mos99,C,1969,0.656,0.642,0.678
Mos99,D,1969,0.451,0.445,0.465
Mos99,E,1969,0.418,0.4,0.446
Mos99,B*,1969,0.517,0.496,0.532
Mos99,non-epitope,1969,0.019,0.018,0.021
Mos99,OtherbutB*,1969,0.067,0.066,0.068
Mos99,OtherEpibutB*,1969,0.503,0.498,0.513
Mos99,A,1970,0.611,0.603,0.62
Mos99,B,1970,0.458,0.45,0.464
Mos99,C,1970,0.656,0.642,0.678
Mos99,D,1970,0.46,0.454,0.468
Mos99,E,1970,0.438,0.435,0.442
Mos99,B*,1970,0.517,0.496,0.532
Mos99,non-epitope,1970,0.019,0.019,0.02
Mos99,OtherbutB*,1970,0.068,0.067,0.068
Mos99,OtherEpibutB*,1970,0.51,0.506,0.513
Mos99,A,1971,0.6,0.589,0.618
Mos99,B,1971,0.433,0.418,0.454
Mos99,C,1971,0.634,0.615,0.674
Mos99,D,1971,0.434,0.416,0.462
Mos99,E,1971,0.393,0.384,0.404
Mos99,B*,1971,0.502,0.478,0.519
Mos99,non-epitope,1971,0.019,0.018,0.02
Mos99,OtherbutB*,1971,0.064,0.063,0.066
Mos99,OtherEpibutB*,1971,0.482,0.475,0.493
Mos99,A,1972,0.568,0.553,0.589
Mos99,B,1972,0.425,0.415,0.433
Mos99,C,1972,0.593,0.586,0.603
Mos99,D,1972,0.357,0.353,0.365
Mos99,E,1972,0.389,0.384,0.397
Mos99,B*,1972,0.525,0.503,0.542
Mos99,non-epitope,1972,0.017,0.016,0.018
Mos99,OtherbutB*,1972,0.059,0.058,0.06
Mos99,OtherEpibutB*,1972,0.447,0.443,0.452
Mos99,A,1973,0.555,0.547,0.564
Mos99,B,1973,0.422,0.411,0.431
Mos99,C,1973,0.599,0.59,0.608
Mos99,D,1973,0.353,0.35,0.356
Mos99,E,1973,0.359,0.344,0.385
Mos99,B*,1973,0.535,0.506,0.561
Mos99,non-epitope,1973,0.015,0.015,0.016
Mos99,OtherbutB*,1973,0.056,0.056,0.057
Mos99,OtherEpibutB*,1973,0.434,0.43,0.44
Mos99,A,1974,0.501,0.493,0.515
Mos99,B,1974,0.433,0.415,0.456
Mos99,C,1974,0.599,0.59,0.608
Mos99,D,1974,0.324,0.304,0.354
Mos99,E,1974,0.34,0.331,0.351
Mos99,B*,1974,0.567,0.516,0.63
