Strain,Region,year,Dkl,Lowerbound,Upperbound
Mos99,non-epitope,1974,0.015,0.014,0.015
Mos99,OtherbutB*,1974,0.054,0.053,0.055
Mos99,OtherEpibutB*,1974,0.412,0.406,0.42
Mos99,A,1975,0.5,0.482,0.535
Mos99,B,1975,0.414,0.394,0.441
Mos99,C,1975,0.572,0.539,0.606
Mos99,D,1975,0.32,0.297,0.368
Mos99,E,1975,0.346,0.333,0.364
Mos99,B*,1975,0.487,0.442,0.56
Mos99,non-epitope,1975,0.014,0.014,0.015
Mos99,OtherbutB*,1975,0.053,0.053,0.055
Mos99,OtherEpibutB*,1975,0.411,0.403,0.43
Mos99,A,1976,0.444,0.432,0.466
Mos99,B,1976,0.455,0.439,0.473
Mos99,C,1976,0.475,0.446,0.515
Mos99,D,1976,0.388,0.359,0.418
Mos99,E,1976,0.298,0.283,0.321
Mos99,B*,1976,0.564,0.515,0.597
Mos99,non-epitope,1976,0.012,0.012,0.013
Mos99,OtherbutB*,1976,0.05,0.049,0.051
Mos99,OtherEpibutB*,1976,0.392,0.386,0.406
Mos99,A,1977,0.405,0.384,0.438
Mos99,B,1977,0.453,0.439,0.472
Mos99,C,1977,0.41,0.381,0.449
Mos99,D,1977,0.36,0.333,0.399
Mos99,E,1977,0.297,0.278,0.315
Mos99,B*,1977,0.582,0.552,0.626
Mos99,non-epitope,1977,0.013,0.012,0.014
Mos99,OtherbutB*,1977,0.048,0.047,0.05
Mos99,OtherEpibutB*,1977,0.365,0.356,0.381
Mos99,A,1978,0.388,0.381,0.404
Mos99,B,1978,0.432,0.416,0.452
Mos99,C,1978,0.395,0.369,0.444
Mos99,D,1978,0.379,0.362,0.412
Mos99,E,1978,0.265,0.257,0.274
Mos99,B*,1978,0.603,0.577,0.624
Mos99,non-epitope,1978,0.012,0.011,0.013
Mos99,OtherbutB*,1978,0.045,0.044,0.047
Mos99,OtherEpibutB*,1978,0.347,0.339,0.361
Mos99,A,1979,0.341,0.325,0.391
Mos99,B,1979,0.458,0.451,0.465
Mos99,C,1979,0.355,0.35,0.36
Mos99,D,1979,0.317,0.291,0.349
Mos99,E,1979,0.265,0.257,0.274
Mos99,B*,1979,0.632,0.616,0.651
Mos99,non-epitope,1979,0.01,0.009,0.011
Mos99,OtherbutB*,1979,0.04,0.04,0.042
Mos99,OtherEpibutB*,1979,0.322,0.315,0.339
Mos99,A,1980,0.338,0.312,0.376
Mos99,B,1980,0.431,0.417,0.454
Mos99,C,1980,0.355,0.35,0.36
Mos99,D,1980,0.348,0.347,0.35
Mos99,E,1980,0.279,0.267,0.3
Mos99,B*,1980,0.617,0.601,0.639
Mos99,non-epitope,1980,0.01,0.01,0.011
Mos99,OtherbutB*,1980,0.041,0.041,0.042
Mos99,OtherEpibutB*,1980,0.325,0.319,0.336
Mos99,A,1981,0.349,0.34,0.358
Mos99,B,1981,0.458,0.451,0.465
Mos99,C,1981,0.355,0.35,0.36
Mos99,D,1981,0.348,0.347,0.35
Mos99,E,1981,0.318,0.31,0.327
Mos99,B*,1981,0.632,0.616,0.651
Mos99,non-epitope,1981,0.009,0.008,0.011
Mos99,OtherbutB*,1981,0.042,0.041,0.043
Mos99,OtherEpibutB*,1981,0.343,0.341,0.346
Mos99,A,1982,0.342,0.315,0.366
Mos99,B,1982,0.43,0.412,0.455
Mos99,C,1982,0.294,0.277,0.324
Mos99,D,1982,0.205,0.184,0.235
Mos99,E,1982,0.275,0.265,0.288
Mos99,B*,1982,0.616,0.598,0.639
Mos99,non-epitope,1982,0.009,0.009,0.01
Mos99,OtherbutB*,1982,0.036,0.035,0.038
Mos99,OtherEpibutB*,1982,0.285,0.278,0.298
Mos99,A,1983,0.356,0.336,0.386
Mos99,B,1983,0.441,0.424,0.466
Mos99,C,1983,0.285,0.267,0.308
Mos99,D,1983,0.196,0.183,0.219
Mos99,E,1983,0.27,0.26,0.285
Mos99,B*,1983,0.616,0.592,0.65
Mos99,non-epitope,1983,0.007,0.005,0.008
Mos99,OtherbutB*,1983,0.034,0.033,0.036
Mos99,OtherEpibutB*,1983,0.287,0.278,0.301
Mos99,A,1984,0.373,0.362,0.388
Mos99,B,1984,0.466,0.451,0.502
Mos99,C,1984,0.268,0.263,0.273
Mos99,D,1984,0.233,0.231,0.234
Mos99,E,1984,0.265,0.257,0.274
Mos99,B*,1984,0.632,0.616,0.651
Mos99,non-epitope,1984,0.006,0.005,0.007
Mos99,OtherbutB*,1984,0.035,0.034,0.036
Mos99,OtherEpibutB*,1984,0.3,0.295,0.311
Mos99,A,1985,0.362,0.347,0.383
Mos99,B,1985,0.393,0.381,0.416
Mos99,C,1985,0.251,0.23,0.27
Mos99,D,1985,0.187,0.177,0.2
Mos99,E,1985,0.265,0.257,0.274
Mos99,B*,1985,0.55,0.522,0.598
Mos99,non-epitope,1985,0.006,0.005,0.006
Mos99,OtherbutB*,1985,0.032,0.031,0.033
Mos99,OtherEpibutB*,1985,0.273,0.266,0.281
Mos99,A,1986,0.348,0.328,0.374
Mos99,B,1986,0.4,0.383,0.426
Mos99,C,1986,0.268,0.263,0.273
Mos99,D,1986,0.175,0.174,0.177
Mos99,E,1986,0.265,0.257,0.274
Mos99,B*,1986,0.542,0.51,0.585
Mos99,non-epitope,1986,0.007,0.006,0.008
Mos99,OtherbutB*,1986,0.033,0.032,0.034
Mos99,OtherEpibutB*,1986,0.273,0.267,0.282
Mos99,A,1987,0.398,0.384,0.42
Mos99,B,1987,0.346,0.329,0.382
Mos99,C,1987,0.268,0.263,0.273
Mos99,D,1987,0.181,0.174,0.198
Mos99,E,1987,0.212,0.204,0.22
Mos99,B*,1987,0.506,0.482,0.547
Mos99,non-epitope,1987,0.006,0.005,0.006
Mos99,OtherbutB*,1987,0.031,0.03,0.032
Mos99,OtherEpibutB*,1987,0.261,0.255,0.271
Mos99,A,1988,0.35,0.327,0.374
Mos99,B,1988,0.321,0.314,0.331
Mos99,C,1988,0.25,0.231,0.271
Mos99,D,1988,0.183,0.177,0.194
Mos99,E,1988,0.196,0.178,0.223
Mos99,B*,1988,0.496,0.476,0.516
Mos99,non-epitope,1988,0.006,0.006,0.007
Mos99,OtherbutB*,1988,0.029,0.028,0.03
Mos99,OtherEpibutB*,1988,0.238,0.233,0.251
Mos99,A,1989,0.305,0.287,0.33
Mos99,B,1989,0.322,0.314,0.329
Mos99,C,1989,0.191,0.183,0.201
Mos99,D,1989,0.176,0.174,0.179
Mos99,E,1989,0.117,0.107,0.127
Mos99,B*,1989,0.497,0.479,0.52
Mos99,non-epitope,1989,0.005,0.005,0.006
Mos99,OtherbutB*,1989,0.024,0.024,0.025
Mos99,OtherEpibutB*,1989,0.2,0.195,0.206
Mos99,A,1990,0.314,0.3,0.341
Mos99,B,1990,0.297,0.277,0.32
Mos99,C,1990,0.187,0.179,0.202
Mos99,D,1990,0.168,0.163,0.176
Mos99,E,1990,0.092,0.078,0.115
Mos99,B*,1990,0.418,0.369,0.477
Mos99,non-epitope,1990,0.005,0.005,0.006
Mos99,OtherbutB*,1990,0.024,0.023,0.025
Mos99,OtherEpibutB*,1990,0.195,0.191,0.204
Mos99,A,1991,0.265,0.252,0.282
Mos99,B,1991,0.282,0.271,0.291
Mos99,C,1991,0.166,0.153,0.18
Mos99,D,1991,0.146,0.139,0.158
Mos99,E,1991,0.107,0.099,0.118
Mos99,B*,1991,0.386,0.36,0.408
Mos99,non-epitope,1991,0.005,0.004,0.005
Mos99,OtherbutB*,1991,0.022,0.021,0.022
Mos99,OtherEpibutB*,1991,0.179,0.175,0.185
Mos99,A,1992,0.253,0.24,0.27
Mos99,B,1992,0.232,0.221,0.247
Mos99,C,1992,0.168,0.162,0.176
Mos99,D,1992,0.133,0.124,0.143
Mos99,E,1992,0.11,0.101,0.119
Mos99,B*,1992,0.335,0.312,0.363
Mos99,non-epitope,1992,0.004,0.004,0.005
Mos99,OtherbutB*,1992,0.02,0.019,0.021
Mos99,OtherEpibutB*,1992,0.166,0.162,0.171
Mos99,A,1993,0.287,0.274,0.302
Mos99,B,1993,0.148,0.139,0.157
Mos99,C,1993,0.156,0.143,0.167
Mos99,D,1993,0.16,0.155,0.168
Mos99,E,1993,0.101,0.09,0.112
Mos99,B*,1993,0.262,0.239,0.281
Mos99,non-epitope,1993,0.004,0.004,0.004
Mos99,OtherbutB*,1993,0.019,0.019,0.02
Mos99,OtherEpibutB*,1993,0.158,0.154,0.164
Mos99,A,1994,0.304,0.292,0.321
Mos99,B,1994,0.129,0.117,0.14
Mos99,C,1994,0.154,0.139,0.166
Mos99,D,1994,0.173,0.169,0.18
Mos99,E,1994,0.103,0.096,0.113
Mos99,B*,1994,0.226,0.191,0.254
Mos99,non-epitope,1994,0.005,0.004,0.005
Mos99,OtherbutB*,1994,0.021,0.02,0.021
Mos99,OtherEpibutB*,1994,0.164,0.16,0.169
Mos99,A,1995,0.254,0.238,0.277
Mos99,B,1995,0.1,0.09,0.111
Mos99,C,1995,0.084,0.074,0.097
Mos99,D,1995,0.106,0.094,0.118
Mos99,E,1995,0.085,0.073,0.098
Mos99,B*,1995,0.242,0.217,0.263
Mos99,non-epitope,1995,0.004,0.003,0.004
Mos99,OtherbutB*,1995,0.015,0.014,0.015
Mos99,OtherEpibutB*,1995,0.114,0.108,0.121
Mos99,A,1996,0.081,0.07,0.1
Mos99,B,1996,0.065,0.054,0.075
Mos99,C,1996,0.055,0.042,0.067
Mos99,D,1996,0.022,0.016,0.032
Mos99,E,1996,0.035,0.028,0.045
Mos99,B*,1996,0.167,0.137,0.188
Mos99,non-epitope,1996,0.002,0.002,0.003
Mos99,OtherbutB*,1996,0.006,0.005,0.006
Mos99,OtherEpibutB*,1996,0.04,0.035,0.045
Mos99,A,1997,0.023,0.017,0.037
Mos99,B,1997,0.024,0.017,0.033
Mos99,C,1997,0.027,0.019,0.041
Mos99,D,1997,0.009,0.006,0.015
Mos99,E,1997,0.016,0.011,0.024
Mos99,B*,1997,0.05,0.032,0.068
Mos99,non-epitope,1997,0.002,0.002,0.002
Mos99,OtherbutB*,1997,0.003,0.003,0.004
Mos99,OtherEpibutB*,1997,0.016,0.014,0.021
Mos99,A,1998,0.,0.,0.006
Mos99,B,1998,0.,0.,0.002
Mos99,C,1998,0.,0.,0.004
Mos99,D,1998,0.,0.,0.004
Mos99,E,1998,0.,0.,0.004
Mos99,B*,1998,0.,0.,0.004
Mos99,non-epitope,1998,0.,0.,0.001
Mos99,OtherbutB*,1998,0.,0.,0.001
Mos99,OtherEpibutB*,1998,0.,0.,0.003
Mos99,A,1999,0.043,0.033,0.053
Mos99,B,1999,0.022,0.018,0.028
Mos99,C,1999,0.013,0.008,0.02
Mos99,D,1999,0.017,0.011,0.027
Mos99,E,1999,0.022,0.015,0.03
Mos99,B*,1999,0.019,0.013,0.03
Mos99,non-epitope,1999,0.002,0.002,0.003
Mos99,OtherbutB*,1999,0.004,0.004,0.005
Mos99,OtherEpibutB*,1999,0.025,0.021,0.029
Mos99,A,2000,0.046,0.038,0.056
Mos99,B,2000,0.037,0.032,0.043
Mos99,C,2000,0.036,0.029,0.044
Mos99,D,2000,0.047,0.039,0.058
Mos99,E,2000,0.045,0.036,0.054
Mos99,B*,2000,0.022,0.016,0.032
Mos99,non-epitope,2000,0.004,0.004,0.005
Mos99,OtherbutB*,2000,0.008,0.008,0.009
Mos99,OtherEpibutB*,2000,0.044,0.042,0.049
Mos99,A,2001,0.087,0.077,0.096
Mos99,B,2001,0.053,0.048,0.061
Mos99,C,2001,0.035,0.027,0.044
Mos99,D,2001,0.044,0.038,0.056
Mos99,E,2001,0.038,0.032,0.046
Mos99,B*,2001,0.022,0.016,0.031
Mos99,non-epitope,2001,0.005,0.004,0.005
Mos99,OtherbutB*,2001,0.01,0.009,0.01
Mos99,OtherEpibutB*,2001,0.056,0.052,0.061
Mos99,A,2002,0.093,0.085,0.102
Mos99,B,2002,0.084,0.079,0.089
Mos99,C,2002,0.02,0.016,0.026
Mos99,D,2002,0.047,0.039,0.058
Mos99,E,2002,0.049,0.042,0.056
Mos99,B*,2002,0.025,0.018,0.033
Mos99,non-epitope,2002,0.007,0.006,0.007
Mos99,OtherbutB*,2002,0.013,0.012,0.013
Mos99,OtherEpibutB*,2002,0.067,0.063,0.07
Mos99,A,2003,0.147,0.137,0.156
Mos99,B,2003,0.153,0.148,0.16
Mos99,C,2003,0.081,0.074,0.087
Mos99,D,2003,0.046,0.04,0.056
Mos99,E,2003,0.124,0.118,0.133
Mos99,B*,2003,0.111,0.104,0.119
Mos99,non-epitope,2003,0.01,0.01,0.01
Mos99,OtherbutB*,2003,0.02,0.02,0.021
Mos99,OtherEpibutB*,2003,0.115,0.112,0.119
Mos99,A,2004,0.166,0.154,0.175
Mos99,B,2004,0.209,0.205,0.215
Mos99,C,2004,0.096,0.09,0.102
Mos99,D,2004,0.063,0.054,0.074
Mos99,E,2004,0.144,0.138,0.152
Mos99,B*,2004,0.189,0.18,0.198
Mos99,non-epitope,2004,0.012,0.011,0.012
Mos99,OtherbutB*,2004,0.024,0.024,0.025
Mos99,OtherEpibutB*,2004,0.138,0.135,0.143
Mos99,A,2005,0.189,0.18,0.2
Mos99,B,2005,0.252,0.246,0.259
Mos99,C,2005,0.094,0.088,0.099
Mos99,D,2005,0.097,0.086,0.108
Mos99,E,2005,0.138,0.131,0.146
Mos99,B*,2005,0.257,0.25,0.267
Mos99,non-epitope,2005,0.013,0.013,0.014
Mos99,OtherbutB*,2005,0.027,0.027,0.028
Mos99,OtherEpibutB*,2005,0.154,0.15,0.159
Mos99,A,2006,0.196,0.187,0.206
Mos99,B,2006,0.285,0.279,0.292
Mos99,C,2006,0.096,0.092,0.1
Mos99,D,2006,0.101,0.091,0.11
Mos99,E,2006,0.146,0.14,0.153
Mos99,B*,2006,0.327,0.314,0.341
Mos99,non-epitope,2006,0.014,0.013,0.014
Mos99,OtherbutB*,2006,0.028,0.028,0.029
Mos99,OtherEpibutB*,2006,0.161,0.157,0.165
Mos99,A,2007,0.194,0.186,0.204
Mos99,B,2007,0.294,0.289,0.3
Mos99,C,2007,0.095,0.091,0.1
Mos99,D,2007,0.105,0.095,0.115
Mos99,E,2007,0.143,0.136,0.15
Mos99,B*,2007,0.355,0.348,0.362
Mos99,non-epitope,2007,0.016,0.016,0.017
Mos99,OtherbutB*,2007,0.03,0.03,0.031
Mos99,OtherEpibutB*,2007,0.159,0.156,0.164
Mos99,A,2008,0.204,0.195,0.214
Mos99,B,2008,0.277,0.272,0.283
Mos99,C,2008,0.11,0.105,0.116
Mos99,D,2008,0.135,0.126,0.147
Mos99,E,2008,0.14,0.133,0.148
Mos99,B*,2008,0.328,0.32,0.337
Mos99,non-epitope,2008,0.016,0.016,0.016
Mos99,OtherbutB*,2008,0.031,0.03,0.031
Mos99,OtherEpibutB*,2008,0.168,0.164,0.173
Mos99,A,2009,0.196,0.188,0.205
Mos99,B,2009,0.308,0.303,0.312
Mos99,C,2009,0.097,0.093,0.102
Mos99,D,2009,0.158,0.148,0.169
Mos99,E,2009,0.147,0.141,0.155
Mos99,B*,2009,0.4,0.396,0.407
Mos99,non-epitope,2009,0.018,0.017,0.018
Mos99,OtherbutB*,2009,0.033,0.033,0.033
Mos99,OtherEpibutB*,2009,0.172,0.169,0.176
Mos99,A,2010,0.188,0.178,0.197
Mos99,B,2010,0.326,0.322,0.331
Mos99,C,2010,0.116,0.112,0.121
Mos99,D,2010,0.145,0.136,0.156
Mos99,E,2010,0.155,0.147,0.163
Mos99,B*,2010,0.452,0.446,0.458
Mos99,non-epitope,2010,0.02,0.019,0.02
Mos99,OtherbutB*,2010,0.035,0.034,0.035
Mos99,OtherEpibutB*,2010,0.172,0.168,0.176
Mos99,A,2011,0.186,0.18,0.195
Mos99,B,2011,0.323,0.319,0.328
Mos99,C,2011,0.118,0.114,0.123
Mos99,D,2011,0.143,0.133,0.153
Mos99,E,2011,0.15,0.144,0.157
Mos99,B*,2011,0.452,0.449,0.458
Mos99,non-epitope,2011,0.021,0.021,0.021
Mos99,OtherbutB*,2011,0.035,0.035,0.036
Mos99,OtherEpibutB*,2011,0.169,0.166,0.174
Mos99,A,2012,0.178,0.169,0.187
Mos99,B,2012,0.322,0.318,0.326
Mos99,C,2012,0.123,0.12,0.128
Mos99,D,2012,0.131,0.122,0.14
Mos99,E,2012,0.135,0.129,0.142
Mos99,B*,2012,0.444,0.441,0.449
Mos99,non-epitope,2012,0.021,0.021,0.022
Mos99,OtherbutB*,2012,0.035,0.035,0.036
Mos99,OtherEpibutB*,2012,0.162,0.159,0.167
Mos99,A,2013,0.193,0.186,0.202
Mos99,B,2013,0.325,0.321,0.331
Mos99,C,2013,0.166,0.162,0.171
Mos99,D,2013,0.144,0.135,0.154
Mos99,E,2013,0.139,0.132,0.147
Mos99,B*,2013,0.445,0.442,0.452
Mos99,non-epitope,2013,0.025,0.025,0.026
Mos99,OtherbutB*,2013,0.04,0.04,0.041
Mos99,OtherEpibutB*,2013,0.177,0.173,0.181
Mos99,A,2014,0.209,0.201,0.218
Mos99,B,2014,0.314,0.31,0.319
Mos99,C,2014,0.178,0.173,0.183
Mos99,D,2014,0.148,0.137,0.158
Mos99,E,2014,0.14,0.133,0.148
Mos99,B*,2014,0.381,0.377,0.387
Mos99,non-epitope,2014,0.028,0.027,0.028
Mos99,OtherbutB*,2014,0.043,0.043,0.044
Mos99,OtherEpibutB*,2014,0.186,0.183,0.19
Mos99,A,2015,0.21,0.203,0.217
Mos99,B,2015,0.318,0.314,0.323
Mos99,C,2015,0.178,0.173,0.182
Mos99,D,2015,0.149,0.139,0.159
Mos99,E,2015,0.143,0.136,0.151
Mos99,B*,2015,0.346,0.342,0.352
Mos99,non-epitope,2015,0.029,0.029,0.029
Mos99,OtherbutB*,2015,0.045,0.045,0.045
Mos99,OtherEpibutB*,2015,0.193,0.19,0.196
Mos99,A,2016,0.211,0.205,0.22
Mos99,B,2016,0.319,0.315,0.325
Mos99,C,2016,0.182,0.178,0.187
Mos99,D,2016,0.161,0.151,0.171
Mos99,E,2016,0.144,0.137,0.151
Mos99,B*,2016,0.346,0.342,0.351
Mos99,non-epitope,2016,0.03,0.03,0.03
Mos99,OtherbutB*,2016,0.046,0.046,0.047
Mos99,OtherEpibutB*,2016,0.197,0.194,0.201
Mos99,A,2017,0.233,0.226,0.241
Mos99,B,2017,0.314,0.31,0.319
Mos99,C,2017,0.186,0.182,0.191
Mos99,D,2017,0.174,0.165,0.184
Mos99,E,2017,0.152,0.145,0.16
Mos99,B*,2017,0.331,0.327,0.336
Mos99,non-epitope,2017,0.031,0.031,0.032
Mos99,OtherbutB*,2017,0.048,0.048,0.049
Mos99,OtherEpibutB*,2017,0.207,0.205,0.211
Mos99,A,2018,0.256,0.247,0.266
Mos99,B,2018,0.311,0.307,0.316
Mos99,C,2018,0.185,0.18,0.189
Mos99,D,2018,0.166,0.156,0.176
Mos99,E,2018,0.159,0.152,0.166
Mos99,B*,2018,0.325,0.321,0.332
Mos99,non-epitope,2018,0.031,0.03,0.031
Mos99,OtherbutB*,2018,0.048,0.048,0.049
Mos99,OtherEpibutB*,2018,0.211,0.209,0.216
Bris07L194,A,1968,0.549,0.543,0.558
Bris07L194,B,1968,0.535,0.529,0.541
Bris07L194,C,1968,0.676,0.669,0.684
Bris07L194,D,1968,0.519,0.517,0.521
Bris07L194,E,1968,0.524,0.518,0.53
Bris07L194,B*,1968,0.666,0.654,0.675
Bris07L194,non-epitope,1968,0.031,0.03,0.031
Bris07L194,OtherbutB*,1968,0.081,0.08,0.081
Bris07L194,OtherEpibutB*,1968,0.538,0.536,0.541
Bris07L194,A,1969,0.555,0.55,0.561
Bris07L194,B,1969,0.535,0.529,0.541
Bris07L194,C,1969,0.676,0.669,0.684
Bris07L194,D,1969,0.518,0.516,0.52
Bris07L194,E,1969,0.515,0.497,0.545
Bris07L194,B*,1969,0.666,0.654,0.675
Bris07L194,non-epitope,1969,0.029,0.029,0.031
Bris07L194,OtherbutB*,1969,0.079,0.079,0.08
Bris07L194,OtherEpibutB*,1969,0.537,0.533,0.544
Bris07L194,A,1970,0.555,0.55,0.561
Bris07L194,B,1970,0.535,0.529,0.541
Bris07L194,C,1970,0.676,0.669,0.684
Bris07L194,D,1970,0.518,0.516,0.52
Bris07L194,E,1970,0.534,0.534,0.535
Bris07L194,B*,1970,0.666,0.654,0.675
Bris07L194,non-epitope,1970,0.029,0.029,0.03
Bris07L194,OtherbutB*,1970,0.08,0.079,0.08
Bris07L194,OtherEpibutB*,1970,0.542,0.539,0.544
Bris07L194,A,1971,0.532,0.516,0.554
Bris07L194,B,1971,0.516,0.502,0.538
Bris07L194,C,1971,0.653,0.632,0.681
Bris07L194,D,1971,0.492,0.473,0.519
Bris07L194,E,1971,0.488,0.481,0.498
Bris07L194,B*,1971,0.667,0.655,0.675
Bris07L194,non-epitope,1971,0.029,0.028,0.03
Bris07L194,OtherbutB*,1971,0.076,0.075,0.078
Bris07L194,OtherEpibutB*,1971,0.511,0.505,0.524
Bris07L194,A,1972,0.495,0.48,0.516
Bris07L194,B,1972,0.525,0.515,0.54
Bris07L194,C,1972,0.603,0.597,0.612
Bris07L194,D,1972,0.411,0.405,0.418
Bris07L194,E,1972,0.485,0.481,0.493
Bris07L194,B*,1972,0.668,0.654,0.675
Bris07L194,non-epitope,1972,0.027,0.026,0.028
Bris07L194,OtherbutB*,1972,0.071,0.071,0.072
Bris07L194,OtherEpibutB*,1972,0.48,0.475,0.487
Bris07L194,A,1973,0.466,0.45,0.49
Bris07L194,B,1973,0.537,0.532,0.544
Bris07L194,C,1973,0.603,0.598,0.607
Bris07L194,D,1973,0.402,0.401,0.405
Bris07L194,E,1973,0.455,0.442,0.481
Bris07L194,B*,1973,0.669,0.659,0.677
Bris07L194,non-epitope,1973,0.025,0.025,0.026
Bris07L194,OtherbutB*,1973,0.069,0.068,0.07
Bris07L194,OtherEpibutB*,1973,0.468,0.464,0.475
Bris07L194,A,1974,0.431,0.423,0.44
Bris07L194,B,1974,0.53,0.516,0.547
Bris07L194,C,1974,0.603,0.598,0.607
Bris07L194,D,1974,0.372,0.351,0.403
Bris07L194,E,1974,0.39,0.381,0.408
Bris07L194,B*,1974,0.648,0.611,0.693
Bris07L194,non-epitope,1974,0.025,0.024,0.025
Bris07L194,OtherbutB*,1974,0.065,0.065,0.066
