Strain,Region,year,Dkl,Lowerbound,Upperbound
Bris07L194,OtherEpibutB*,1974,0.438,0.434,0.447
Bris07L194,A,1975,0.406,0.381,0.455
Bris07L194,B,1975,0.517,0.502,0.537
Bris07L194,C,1975,0.576,0.543,0.606
Bris07L194,D,1975,0.368,0.346,0.414
Bris07L194,E,1975,0.403,0.391,0.426
Bris07L194,B*,1975,0.6,0.57,0.638
Bris07L194,non-epitope,1975,0.024,0.024,0.026
Bris07L194,OtherbutB*,1975,0.064,0.063,0.067
Bris07L194,OtherEpibutB*,1975,0.433,0.423,0.457
Bris07L194,A,1976,0.318,0.306,0.335
Bris07L194,B,1976,0.554,0.542,0.573
Bris07L194,C,1976,0.512,0.494,0.54
Bris07L194,D,1976,0.435,0.405,0.467
Bris07L194,E,1976,0.348,0.331,0.37
Bris07L194,B*,1976,0.656,0.63,0.687
Bris07L194,non-epitope,1976,0.022,0.022,0.023
Bris07L194,OtherbutB*,1976,0.06,0.06,0.062
Bris07L194,OtherEpibutB*,1976,0.411,0.406,0.425
Bris07L194,A,1977,0.313,0.292,0.34
Bris07L194,B,1977,0.544,0.533,0.561
Bris07L194,C,1977,0.47,0.453,0.504
Bris07L194,D,1977,0.412,0.386,0.452
Bris07L194,E,1977,0.351,0.337,0.367
Bris07L194,B*,1977,0.682,0.674,0.693
Bris07L194,non-epitope,1977,0.023,0.023,0.024
Bris07L194,OtherbutB*,1977,0.06,0.059,0.061
Bris07L194,OtherEpibutB*,1977,0.393,0.386,0.406
Bris07L194,A,1978,0.319,0.309,0.334
Bris07L194,B,1978,0.53,0.518,0.55
Bris07L194,C,1978,0.476,0.452,0.523
Bris07L194,D,1978,0.427,0.41,0.459
Bris07L194,E,1978,0.32,0.318,0.323
Bris07L194,B*,1978,0.693,0.693,0.693
Bris07L194,non-epitope,1978,0.022,0.021,0.023
Bris07L194,OtherbutB*,1978,0.058,0.057,0.06
Bris07L194,OtherEpibutB*,1978,0.386,0.38,0.4
Bris07L194,A,1979,0.34,0.311,0.377
Bris07L194,B,1979,0.545,0.54,0.55
Bris07L194,C,1979,0.436,0.434,0.437
Bris07L194,D,1979,0.314,0.288,0.346
Bris07L194,E,1979,0.32,0.318,0.323
Bris07L194,B*,1979,0.693,0.693,0.693
Bris07L194,non-epitope,1979,0.02,0.019,0.021
Bris07L194,OtherbutB*,1979,0.054,0.053,0.055
Bris07L194,OtherEpibutB*,1979,0.365,0.357,0.379
Bris07L194,A,1980,0.282,0.265,0.306
Bris07L194,B,1980,0.524,0.513,0.546
Bris07L194,C,1980,0.436,0.434,0.437
Bris07L194,D,1980,0.345,0.343,0.347
Bris07L194,E,1980,0.334,0.324,0.351
Bris07L194,B*,1980,0.693,0.693,0.693
Bris07L194,non-epitope,1980,0.021,0.02,0.021
Bris07L194,OtherbutB*,1980,0.053,0.053,0.055
Bris07L194,OtherEpibutB*,1980,0.356,0.35,0.365
Bris07L194,A,1981,0.257,0.252,0.264
Bris07L194,B,1981,0.545,0.54,0.55
Bris07L194,C,1981,0.436,0.434,0.437
Bris07L194,D,1981,0.345,0.343,0.347
Bris07L194,E,1981,0.373,0.371,0.376
Bris07L194,B*,1981,0.693,0.693,0.693
Bris07L194,non-epitope,1981,0.019,0.018,0.021
Bris07L194,OtherbutB*,1981,0.053,0.053,0.055
Bris07L194,OtherEpibutB*,1981,0.366,0.364,0.368
Bris07L194,A,1982,0.238,0.203,0.275
Bris07L194,B,1982,0.522,0.511,0.551
Bris07L194,C,1982,0.377,0.361,0.408
Bris07L194,D,1982,0.218,0.203,0.245
Bris07L194,E,1982,0.329,0.322,0.344
Bris07L194,B*,1982,0.693,0.693,0.693
Bris07L194,non-epitope,1982,0.019,0.019,0.02
Bris07L194,OtherbutB*,1982,0.048,0.047,0.05
Bris07L194,OtherEpibutB*,1982,0.309,0.301,0.322
Bris07L194,A,1983,0.299,0.281,0.328
Bris07L194,B,1983,0.53,0.513,0.548
Bris07L194,C,1983,0.366,0.349,0.389
Bris07L194,D,1983,0.206,0.192,0.221
Bris07L194,E,1983,0.325,0.319,0.339
Bris07L194,B*,1983,0.693,0.693,0.693
Bris07L194,non-epitope,1983,0.017,0.016,0.018
Bris07L194,OtherbutB*,1983,0.047,0.045,0.048
Bris07L194,OtherEpibutB*,1983,0.319,0.311,0.332
Bris07L194,A,1984,0.326,0.322,0.33
Bris07L194,B,1984,0.545,0.54,0.55
Bris07L194,C,1984,0.349,0.348,0.351
Bris07L194,D,1984,0.238,0.236,0.24
Bris07L194,E,1984,0.32,0.318,0.323
Bris07L194,B*,1984,0.693,0.693,0.693
Bris07L194,non-epitope,1984,0.016,0.015,0.017
Bris07L194,OtherbutB*,1984,0.047,0.046,0.048
Bris07L194,OtherEpibutB*,1984,0.332,0.331,0.334
Bris07L194,A,1985,0.314,0.3,0.327
Bris07L194,B,1985,0.509,0.502,0.519
Bris07L194,C,1985,0.332,0.313,0.351
Bris07L194,D,1985,0.19,0.181,0.202
Bris07L194,E,1985,0.32,0.318,0.323
Bris07L194,B*,1985,0.69,0.686,0.693
Bris07L194,non-epitope,1985,0.016,0.016,0.017
Bris07L194,OtherbutB*,1985,0.045,0.044,0.046
Bris07L194,OtherEpibutB*,1985,0.307,0.3,0.314
Bris07L194,A,1986,0.335,0.327,0.347
Bris07L194,B,1986,0.514,0.504,0.533
Bris07L194,C,1986,0.349,0.348,0.351
Bris07L194,D,1986,0.18,0.178,0.183
Bris07L194,E,1986,0.32,0.318,0.323
Bris07L194,B*,1986,0.689,0.684,0.693
Bris07L194,non-epitope,1986,0.017,0.017,0.018
Bris07L194,OtherbutB*,1986,0.046,0.046,0.048
Bris07L194,OtherEpibutB*,1986,0.313,0.309,0.319
Bris07L194,A,1987,0.326,0.322,0.33
Bris07L194,B,1987,0.5,0.498,0.506
Bris07L194,C,1987,0.349,0.348,0.351
Bris07L194,D,1987,0.186,0.178,0.205
Bris07L194,E,1987,0.268,0.265,0.271
Bris07L194,B*,1987,0.689,0.684,0.693
Bris07L194,non-epitope,1987,0.016,0.015,0.017
Bris07L194,OtherbutB*,1987,0.043,0.043,0.045
Bris07L194,OtherEpibutB*,1987,0.296,0.294,0.302
Bris07L194,A,1988,0.336,0.328,0.348
Bris07L194,B,1988,0.492,0.481,0.505
Bris07L194,C,1988,0.331,0.312,0.35
Bris07L194,D,1988,0.184,0.179,0.194
Bris07L194,E,1988,0.266,0.25,0.285
Bris07L194,B*,1988,0.689,0.684,0.693
Bris07L194,non-epitope,1988,0.016,0.016,0.017
Bris07L194,OtherbutB*,1988,0.043,0.043,0.045
Bris07L194,OtherEpibutB*,1988,0.293,0.288,0.302
Bris07L194,A,1989,0.362,0.345,0.387
Bris07L194,B,1989,0.501,0.498,0.506
Bris07L194,C,1989,0.27,0.264,0.278
Bris07L194,D,1989,0.18,0.178,0.183
Bris07L194,E,1989,0.258,0.247,0.277
Bris07L194,B*,1989,0.689,0.684,0.693
Bris07L194,non-epitope,1989,0.015,0.015,0.016
Bris07L194,OtherbutB*,1989,0.042,0.042,0.043
Bris07L194,OtherEpibutB*,1989,0.289,0.285,0.296
Bris07L194,A,1990,0.391,0.382,0.403
Bris07L194,B,1990,0.483,0.466,0.5
Bris07L194,C,1990,0.265,0.262,0.277
Bris07L194,D,1990,0.18,0.178,0.183
Bris07L194,E,1990,0.255,0.239,0.276
Bris07L194,B*,1990,0.64,0.594,0.682
Bris07L194,non-epitope,1990,0.015,0.014,0.016
Bris07L194,OtherbutB*,1990,0.042,0.042,0.043
Bris07L194,OtherEpibutB*,1990,0.294,0.29,0.301
Bris07L194,A,1991,0.412,0.403,0.429
Bris07L194,B,1991,0.485,0.476,0.494
Bris07L194,C,1991,0.249,0.236,0.263
Bris07L194,D,1991,0.182,0.179,0.185
Bris07L194,E,1991,0.269,0.266,0.273
Bris07L194,B*,1991,0.645,0.626,0.668
Bris07L194,non-epitope,1991,0.015,0.014,0.015
Bris07L194,OtherbutB*,1991,0.043,0.042,0.043
Bris07L194,OtherEpibutB*,1991,0.3,0.298,0.305
Bris07L194,A,1992,0.398,0.382,0.414
Bris07L194,B,1992,0.461,0.453,0.474
Bris07L194,C,1992,0.262,0.261,0.264
Bris07L194,D,1992,0.181,0.178,0.184
Bris07L194,E,1992,0.271,0.267,0.277
Bris07L194,B*,1992,0.609,0.592,0.638
Bris07L194,non-epitope,1992,0.015,0.014,0.015
Bris07L194,OtherbutB*,1992,0.042,0.042,0.043
Bris07L194,OtherEpibutB*,1992,0.296,0.292,0.301
Bris07L194,A,1993,0.382,0.374,0.389
Bris07L194,B,1993,0.419,0.412,0.426
Bris07L194,C,1993,0.26,0.254,0.267
Bris07L194,D,1993,0.182,0.18,0.184
Bris07L194,E,1993,0.261,0.255,0.267
Bris07L194,B*,1993,0.552,0.542,0.563
Bris07L194,non-epitope,1993,0.014,0.014,0.015
Bris07L194,OtherbutB*,1993,0.041,0.04,0.041
Bris07L194,OtherEpibutB*,1993,0.284,0.281,0.288
Bris07L194,A,1994,0.381,0.377,0.386
Bris07L194,B,1994,0.406,0.396,0.418
Bris07L194,C,1994,0.256,0.248,0.265
Bris07L194,D,1994,0.183,0.176,0.19
Bris07L194,E,1994,0.265,0.261,0.271
Bris07L194,B*,1994,0.523,0.506,0.545
Bris07L194,non-epitope,1994,0.015,0.015,0.016
Bris07L194,OtherbutB*,1994,0.042,0.041,0.042
Bris07L194,OtherEpibutB*,1994,0.284,0.281,0.287
Bris07L194,A,1995,0.377,0.367,0.393
Bris07L194,B,1995,0.372,0.365,0.381
Bris07L194,C,1995,0.197,0.19,0.206
Bris07L194,D,1995,0.141,0.136,0.147
Bris07L194,E,1995,0.246,0.238,0.258
Bris07L194,B*,1995,0.522,0.508,0.542
Bris07L194,non-epitope,1995,0.014,0.014,0.015
Bris07L194,OtherbutB*,1995,0.038,0.037,0.038
Bris07L194,OtherEpibutB*,1995,0.251,0.248,0.256
Bris07L194,A,1996,0.253,0.241,0.267
Bris07L194,B,1996,0.344,0.335,0.355
Bris07L194,C,1996,0.167,0.156,0.177
Bris07L194,D,1996,0.11,0.102,0.121
Bris07L194,E,1996,0.188,0.179,0.198
Bris07L194,B*,1996,0.481,0.463,0.5
Bris07L194,non-epitope,1996,0.013,0.013,0.014
Bris07L194,OtherbutB*,1996,0.031,0.031,0.032
Bris07L194,OtherEpibutB*,1996,0.196,0.191,0.201
Bris07L194,A,1997,0.23,0.218,0.243
Bris07L194,B,1997,0.308,0.3,0.318
Bris07L194,C,1997,0.134,0.124,0.15
Bris07L194,D,1997,0.105,0.093,0.117
Bris07L194,E,1997,0.159,0.15,0.17
Bris07L194,B*,1997,0.387,0.367,0.406
Bris07L194,non-epitope,1997,0.014,0.013,0.014
Bris07L194,OtherbutB*,1997,0.03,0.029,0.03
Bris07L194,OtherEpibutB*,1997,0.178,0.173,0.184
Bris07L194,A,1998,0.196,0.187,0.206
Bris07L194,B,1998,0.285,0.278,0.294
Bris07L194,C,1998,0.096,0.093,0.101
Bris07L194,D,1998,0.101,0.092,0.11
Bris07L194,E,1998,0.146,0.14,0.155
Bris07L194,B*,1998,0.327,0.314,0.34
Bris07L194,non-epitope,1998,0.014,0.013,0.014
Bris07L194,OtherbutB*,1998,0.028,0.028,0.029
Bris07L194,OtherEpibutB*,1998,0.161,0.157,0.165
Bris07L194,A,1999,0.146,0.14,0.152
Bris07L194,B,1999,0.258,0.251,0.264
Bris07L194,C,1999,0.09,0.088,0.093
Bris07L194,D,1999,0.072,0.067,0.077
Bris07L194,E,1999,0.118,0.116,0.121
Bris07L194,B*,1999,0.316,0.305,0.328
Bris07L194,non-epitope,1999,0.013,0.013,0.014
Bris07L194,OtherbutB*,1999,0.025,0.025,0.025
Bris07L194,OtherEpibutB*,1999,0.129,0.127,0.132
Bris07L194,A,2000,0.144,0.139,0.148
Bris07L194,B,2000,0.25,0.244,0.255
Bris07L194,C,2000,0.053,0.047,0.06
Bris07L194,D,2000,0.06,0.057,0.064
Bris07L194,E,2000,0.13,0.127,0.134
Bris07L194,B*,2000,0.312,0.302,0.323
Bris07L194,non-epitope,2000,0.015,0.015,0.015
Bris07L194,OtherbutB*,2000,0.025,0.025,0.026
Bris07L194,OtherEpibutB*,2000,0.122,0.12,0.124
Bris07L194,A,2001,0.129,0.126,0.133
Bris07L194,B,2001,0.22,0.214,0.226
Bris07L194,C,2001,0.045,0.037,0.056
Bris07L194,D,2001,0.06,0.054,0.066
Bris07L194,E,2001,0.1,0.093,0.108
Bris07L194,B*,2001,0.312,0.302,0.323
Bris07L194,non-epitope,2001,0.012,0.012,0.013
Bris07L194,OtherbutB*,2001,0.021,0.021,0.022
Bris07L194,OtherEpibutB*,2001,0.101,0.099,0.104
Bris07L194,A,2002,0.128,0.123,0.138
Bris07L194,B,2002,0.191,0.183,0.197
Bris07L194,C,2002,0.061,0.057,0.065
Bris07L194,D,2002,0.063,0.06,0.066
Bris07L194,E,2002,0.076,0.071,0.081
Bris07L194,B*,2002,0.295,0.281,0.308
Bris07L194,non-epitope,2002,0.013,0.012,0.013
Bris07L194,OtherbutB*,2002,0.02,0.02,0.021
Bris07L194,OtherEpibutB*,2002,0.092,0.09,0.094
Bris07L194,A,2003,0.081,0.077,0.085
Bris07L194,B,2003,0.103,0.099,0.108
Bris07L194,C,2003,0.014,0.011,0.018
Bris07L194,D,2003,0.048,0.045,0.051
Bris07L194,E,2003,0.008,0.007,0.01
Bris07L194,B*,2003,0.185,0.176,0.197
Bris07L194,non-epitope,2003,0.006,0.005,0.006
Bris07L194,OtherbutB*,2003,0.009,0.009,0.009
Bris07L194,OtherEpibutB*,2003,0.042,0.041,0.044
Bris07L194,A,2004,0.024,0.021,0.028
Bris07L194,B,2004,0.049,0.046,0.054
Bris07L194,C,2004,0.013,0.01,0.019
Bris07L194,D,2004,0.023,0.021,0.026
Bris07L194,E,2004,0.004,0.003,0.006
Bris07L194,B*,2004,0.104,0.095,0.112
Bris07L194,non-epitope,2004,0.004,0.004,0.004
Bris07L194,OtherbutB*,2004,0.005,0.005,0.005
Bris07L194,OtherEpibutB*,2004,0.016,0.015,0.018
Bris07L194,A,2005,0.015,0.013,0.019
Bris07L194,B,2005,0.021,0.019,0.025
Bris07L194,C,2005,0.016,0.012,0.021
Bris07L194,D,2005,0.005,0.004,0.007
Bris07L194,E,2005,0.003,0.003,0.006
Bris07L194,B*,2005,0.03,0.024,0.038
Bris07L194,non-epitope,2005,0.003,0.002,0.003
Bris07L194,OtherbutB*,2005,0.003,0.003,0.004
Bris07L194,OtherEpibutB*,2005,0.01,0.01,0.012
Bris07L194,A,2006,0.,0.,0.003
Bris07L194,B,2006,0.,0.,0.003
Bris07L194,C,2006,0.,0.,0.002
Bris07L194,D,2006,0.,0.,0.002
Bris07L194,E,2006,0.,0.,0.002
Bris07L194,B*,2006,0.,0.,0.004
Bris07L194,non-epitope,2006,0.,0.,0.001
Bris07L194,OtherbutB*,2006,0.,0.,0.001
Bris07L194,OtherEpibutB*,2006,0.,0.,0.002
Bris07L194,A,2007,0.003,0.002,0.004
Bris07L194,B,2007,0.005,0.004,0.007
Bris07L194,C,2007,0.013,0.009,0.016
Bris07L194,D,2007,0.003,0.003,0.006
Bris07L194,E,2007,0.004,0.003,0.006
Bris07L194,B*,2007,0.007,0.005,0.012
Bris07L194,non-epitope,2007,0.003,0.003,0.003
Bris07L194,OtherbutB*,2007,0.003,0.003,0.003
Bris07L194,OtherEpibutB*,2007,0.005,0.004,0.006
Bris07L194,A,2008,0.025,0.023,0.028
Bris07L194,B,2008,0.022,0.02,0.026
Bris07L194,C,2008,0.061,0.055,0.067
Bris07L194,D,2008,0.049,0.046,0.054
Bris07L194,E,2008,0.03,0.027,0.033
Bris07L194,B*,2008,0.03,0.027,0.036
Bris07L194,non-epitope,2008,0.005,0.005,0.006
Bris07L194,OtherbutB*,2008,0.008,0.008,0.009
Bris07L194,OtherEpibutB*,2008,0.035,0.034,0.037
Bris07L194,A,2009,0.024,0.021,0.027
Bris07L194,B,2009,0.037,0.035,0.041
Bris07L194,C,2009,0.04,0.035,0.046
Bris07L194,D,2009,0.063,0.06,0.066
Bris07L194,E,2009,0.017,0.016,0.02
Bris07L194,B*,2009,0.05,0.044,0.059
Bris07L194,non-epitope,2009,0.006,0.006,0.006
Bris07L194,OtherbutB*,2009,0.008,0.008,0.009
Bris07L194,OtherEpibutB*,2009,0.034,0.033,0.036
Bris07L194,A,2010,0.011,0.009,0.014
Bris07L194,B,2010,0.087,0.084,0.091
Bris07L194,C,2010,0.06,0.052,0.068
Bris07L194,D,2010,0.056,0.053,0.059
Bris07L194,E,2010,0.023,0.02,0.027
Bris07L194,B*,2010,0.112,0.106,0.122
Bris07L194,non-epitope,2010,0.008,0.008,0.008
Bris07L194,OtherbutB*,2010,0.011,0.011,0.012
Bris07L194,OtherEpibutB*,2010,0.042,0.04,0.044
Bris07L194,A,2011,0.014,0.013,0.017
Bris07L194,B,2011,0.089,0.087,0.095
Bris07L194,C,2011,0.059,0.051,0.066
Bris07L194,D,2011,0.056,0.052,0.059
Bris07L194,E,2011,0.019,0.017,0.022
Bris07L194,B*,2011,0.114,0.108,0.122
Bris07L194,non-epitope,2011,0.009,0.009,0.009
Bris07L194,OtherbutB*,2011,0.012,0.012,0.013
Bris07L194,OtherEpibutB*,2011,0.042,0.04,0.044
Bris07L194,A,2012,0.025,0.023,0.028
Bris07L194,B,2012,0.091,0.088,0.097
Bris07L194,C,2012,0.069,0.061,0.077
Bris07L194,D,2012,0.053,0.05,0.056
Bris07L194,E,2012,0.01,0.009,0.013
Bris07L194,B*,2012,0.117,0.111,0.126
Bris07L194,non-epitope,2012,0.01,0.01,0.01
Bris07L194,OtherbutB*,2012,0.013,0.013,0.014
Bris07L194,OtherEpibutB*,2012,0.043,0.042,0.045
Bris07L194,A,2013,0.053,0.05,0.057
Bris07L194,B,2013,0.084,0.081,0.089
Bris07L194,C,2013,0.103,0.095,0.11
Bris07L194,D,2013,0.055,0.053,0.058
Bris07L194,E,2013,0.004,0.004,0.006
Bris07L194,B*,2013,0.108,0.102,0.116
Bris07L194,non-epitope,2013,0.013,0.013,0.013
Bris07L194,OtherbutB*,2013,0.017,0.017,0.017
Bris07L194,OtherEpibutB*,2013,0.052,0.051,0.055
Bris07L194,A,2014,0.074,0.07,0.079
Bris07L194,B,2014,0.104,0.1,0.109
Bris07L194,C,2014,0.11,0.103,0.118
Bris07L194,D,2014,0.055,0.052,0.057
Bris07L194,E,2014,0.007,0.006,0.009
Bris07L194,B*,2014,0.143,0.136,0.153
Bris07L194,non-epitope,2014,0.015,0.015,0.016
Bris07L194,OtherbutB*,2014,0.02,0.019,0.02
Bris07L194,OtherEpibutB*,2014,0.06,0.059,0.063
Bris07L194,A,2015,0.091,0.087,0.095
Bris07L194,B,2015,0.135,0.131,0.141
Bris07L194,C,2015,0.111,0.103,0.118
Bris07L194,D,2015,0.055,0.052,0.057
Bris07L194,E,2015,0.005,0.005,0.008
Bris07L194,B*,2015,0.182,0.174,0.192
Bris07L194,non-epitope,2015,0.017,0.017,0.017
Bris07L194,OtherbutB*,2015,0.022,0.022,0.022
Bris07L194,OtherEpibutB*,2015,0.069,0.067,0.071
Bris07L194,A,2016,0.101,0.097,0.106
Bris07L194,B,2016,0.154,0.151,0.161
Bris07L194,C,2016,0.117,0.109,0.124
Bris07L194,D,2016,0.068,0.065,0.071
Bris07L194,E,2016,0.005,0.005,0.008
Bris07L194,B*,2016,0.214,0.205,0.224
Bris07L194,non-epitope,2016,0.019,0.018,0.019
Bris07L194,OtherbutB*,2016,0.024,0.024,0.025
Bris07L194,OtherEpibutB*,2016,0.077,0.075,0.079
Bris07L194,A,2017,0.134,0.13,0.14
Bris07L194,B,2017,0.161,0.157,0.167
Bris07L194,C,2017,0.119,0.111,0.126
Bris07L194,D,2017,0.081,0.078,0.083
Bris07L194,E,2017,0.014,0.013,0.017
Bris07L194,B*,2017,0.215,0.206,0.225
Bris07L194,non-epitope,2017,0.02,0.019,0.02
Bris07L194,OtherbutB*,2017,0.027,0.026,0.027
Bris07L194,OtherEpibutB*,2017,0.091,0.09,0.093
Bris07L194,A,2018,0.17,0.165,0.177
Bris07L194,B,2018,0.157,0.153,0.162
Bris07L194,C,2018,0.119,0.111,0.126
Bris07L194,D,2018,0.072,0.068,0.075
Bris07L194,E,2018,0.026,0.024,0.029
Bris07L194,B*,2018,0.218,0.209,0.227
Bris07L194,non-epitope,2018,0.019,0.019,0.019
Bris07L194,OtherbutB*,2018,0.027,0.027,0.027
Bris07L194,OtherEpibutB*,2018,0.098,0.096,0.101
NDako16,A,1968,0.494,0.49,0.499
NDako16,B,1968,0.509,0.508,0.51
NDako16,C,1968,0.679,0.678,0.681
NDako16,D,1968,0.519,0.518,0.52
NDako16,E,1968,0.518,0.513,0.524
NDako16,B*,1968,0.658,0.656,0.66
NDako16,non-epitope,1968,0.043,0.042,0.043
NDako16,OtherbutB*,1968,0.089,0.089,0.09
NDako16,OtherEpibutB*,1968,0.519,0.516,0.52
NDako16,A,1969,0.497,0.496,0.498
NDako16,B,1969,0.509,0.508,0.51
NDako16,C,1969,0.679,0.678,0.681
NDako16,D,1969,0.518,0.517,0.519
NDako16,E,1969,0.51,0.492,0.54
